Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,clustering,eigencentrality,componentnumber,strongcompnum
"李柏宇",李柏宇,,0,1,1,0,2,2,1,1,1,0,5,0.001803,0,0,1,232
"姜姜_88",姜姜_88,,0,1,1,0,1,1,1,1,1,0,5,0.001803,0,0,1,233
"陈文杰3171401050江苏大学",陈文杰3171401050江苏大学,,0,1,1,0,1,1,2,0.666667,0.75,0,13,0.001803,0,0,1,234
mooc45458095037674481,mooc45458095037674481,,0,1,1,0,1,1,3,0.480315,0.489071,0,3,0.001803,0,0,1,235
"刘渠安",刘渠安,,0,1,1,0,1,1,3,0.480315,0.489071,0,3,0.001803,0,0,1,236
"悠茗子",悠茗子,,0,1,1,0,1,1,3,0.480315,0.489071,0,3,0.001803,0,0,1,237
mooc80987183278376727,mooc80987183278376727,,0,2,2,0,2,2,3,0.488,0.497268,0,3,0.001803,0.5,0,1,238
SQ生科160911006苗露,SQ生科160911006苗露,,0,1,1,0,1,1,3,0.5,0.533333,0,3,0.001803,0,0,1,239
"归期一月",归期一月,,0,1,1,0,1,1,2,0.666667,0.75,0,12,0.001803,0,0,1,240
mooc1512593933103,mooc1512593933103,,0,1,1,0,1,1,2,0.666667,0.75,0,12,0.001803,0,0,1,241
MIT2021,MIT2021,,0,1,1,0,2,2,3,0.5,0.566667,0,13,0.001803,0,0,1,242
mooc45975958740105772,mooc45975958740105772,,0,1,1,0,1,1,2,0.6,0.666667,0,13,0.001803,0,0,1,243
